soe,arrivals_all,arrivals_male,arrivals_female,latitude,longitude
Johor,39921317,22336483,17584834,1.922581,103.4114
Kedah,2654195,1622332,1031863,5.954218,100.714327
Kelantan,1170079,607109,562970,5.060771,102.0594
Melaka,140659,63397,77262,2.306839,102.3566
Negeri Sembilan,180482,117076,63406,2.826793,102.249487
Pahang,18038,9990,8048,4.076981,102.549911
Perak,483414,227117,256297,4.713235,100.998192
Perlis,1722362,1083992,638370,6.528438,100.24337
Pulau Pinang,2170037,1013506,1156531,5.419481,100.381885
Sabah,933012,428213,504799,5.321874,115.214806
Sarawak,3821044,2086594,1734450,2.495247,110.536555
Selangor,17315457,10032930,7282527,3.421418,101.5183
Terengganu,263,222,41,5.170658,103.049157
W.P. Labuan,47536,30695,16841,5.299798,112.414806
